filename,notes,authors,licenses,urls
"torso/clothes/longsleeve/longsleeve2/male/walk.png","original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman","ElizaWy, JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax)","OGA-BY 3.0","https://opengameart.org/content/lpc-revised-character-basics, https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing, https://opengameart.org/content/lpc-expanded-sit-run-jump-more, https://opengameart.org/content/lpc-expanded-simple-shirts"
"cape/trim/walk.png","isolated stripe from cape_trimmed, adapted to v3 bases by bluecarrot16","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, http://opengameart.org/content/lpc-clothing-updates"
"cape/solid/fg/walk.png","","bluecarrot16, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, https://opengameart.org/content/lpc-roman-armor, http://opengameart.org/content/lpc-clothing-updates"
"cape/solid/bg/walk.png","","Nila122, JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more, https://opengameart.org/content/lpc-roman-armor"
"arms/bracers/male/walk.png","original by wulax, adjustments by Makrohn, climb/emote/jump/sit/run by JaidynReiman","Matthew Krohn (makrohn), Johannes Sjölund (wulax), JaidynReiman","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
"eyes/eyebrows/thin/adult/walk.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"beards/beard/medium/walk.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"beards/mustache/horseshoe/walk.png","","ElizaWy","OGA-BY 3.0","https://github.com/ElizaWy/LPC/tree/main/Characters/Hair, https://opengameart.org/content/lpc-expanded-sit-run-jump-more"
"weapon/ranged/bow/great/universal/background/walk/iron.png","modified by daneeklu, from "normal" bow by wulax; walk animations by pvigier; split into layers and tweaked for v3 character bases by bluecarrot16","Daniel Eddeland (daneeklu), gr3yh47, Johannes Sjölund (wulax), Pierre Vigier (pvigier)","CC-BY-SA 3.0","https://opengameart.org/content/lpc-weapons-two-bows-a-spear-and-a-trident, https://opengameart.org/content/lpc-walk-animations-for-bows"
"quiver/walk/quiver.png","","Johannes Sjölund (wulax)","OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
